run_id,source,profile_family,profile_variant,duration_s,sample_time_s,initial_hold_s,cooldown_s,seed,ambient_ref_start,t1_start,t2_start,t1_end,t2_end,q1_mean,q1_max,q2_mean,q2_max,n_segments_q1,n_segments_q2,coordination_mode,contains_short_segment,profile_signature,run_ok,comment
run_0209,model,q2_dominant,q2_dominant_v01,600,1.0,30,60,42,20.949499999999997,20.949499999999997,20.6272,27.3955,29.6516,12.216666666666667,35.0,52.225,85.0,5,5,q2_dominant,True,"{""coordination_mode"": ""q2_dominant"", ""family"": ""q2_dominant"", ""q1_max_bin"": 7, ""q1_mean_bin"": 2, ""q1_nseg"": 6, ""q2_max_bin"": 17, ""q2_mean_bin"": 10, ""q2_nseg"": 7, ""short"": 1}",True,
run_0210,model,q1_dominant,q1_dominant_v01,600,1.0,30,60,42,20.949499999999997,20.949499999999997,20.949499999999997,37.386799999999994,26.106299999999997,48.46666666666667,85.0,18.933333333333334,45.0,5,5,q1_dominant,True,"{""coordination_mode"": ""q1_dominant"", ""family"": ""q1_dominant"", ""q1_max_bin"": 17, ""q1_mean_bin"": 10, ""q1_nseg"": 6, ""q2_max_bin"": 9, ""q2_mean_bin"": 4, ""q2_nseg"": 7, ""short"": 1}",True,
run_0211,model,staggered_steps,staggered_steps_v01,600,1.0,20,60,42,20.949499999999997,20.949499999999997,20.949499999999997,25.784,24.817099999999996,29.7,80.0,25.25,70.0,4,4,staggered,True,"{""coordination_mode"": ""staggered"", ""family"": ""staggered_steps"", ""q1_max_bin"": 16, ""q1_mean_bin"": 6, ""q1_nseg"": 6, ""q2_max_bin"": 14, ""q2_mean_bin"": 5, ""q2_nseg"": 6, ""short"": 1}",True,
run_0212,model,staggered_steps,staggered_steps_v01,600,1.0,30,60,42,20.788349999999998,20.949499999999997,20.949499999999997,22.561,23.850199999999997,10.866666666666667,100.0,24.15,95.0,4,4,staggered,True,"{""coordination_mode"": ""staggered"", ""family"": ""staggered_steps"", ""q1_max_bin"": 20, ""q1_mean_bin"": 2, ""q1_nseg"": 5, ""q2_max_bin"": 19, ""q2_mean_bin"": 5, ""q2_nseg"": 6, ""short"": 1}",True,
run_0213,model,coordinated,coordinated_v01,600,1.0,25,60,42,20.788349999999998,20.949499999999997,20.949499999999997,28.0401,27.3955,32.958333333333336,95.0,31.875,80.0,5,5,opposite_direction,True,"{""coordination_mode"": ""opposite_direction"", ""family"": ""coordinated"", ""q1_max_bin"": 19, ""q1_mean_bin"": 7, ""q1_nseg"": 7, ""q2_max_bin"": 16, ""q2_mean_bin"": 6, ""q2_nseg"": 7, ""short"": 1}",True,
run_0214,model,staggered_steps,staggered_steps_v01,600,1.0,24,60,42,20.949499999999997,20.949499999999997,20.949499999999997,30.940799999999996,25.461699999999997,41.208333333333336,90.0,27.258333333333333,85.0,4,4,staggered,True,"{""coordination_mode"": ""staggered"", ""family"": ""staggered_steps"", ""q1_max_bin"": 18, ""q1_mean_bin"": 8, ""q1_nseg"": 6, ""q2_max_bin"": 17, ""q2_mean_bin"": 5, ""q2_nseg"": 5, ""short"": 1}",True,
run_0215,model,q1_dominant,q1_dominant_v01,600,1.0,23,60,42,20.949499999999997,20.949499999999997,20.949499999999997,36.4199,25.784,43.85,95.0,14.616666666666667,25.0,5,5,q1_dominant,True,"{""coordination_mode"": ""q1_dominant"", ""family"": ""q1_dominant"", ""q1_max_bin"": 19, ""q1_mean_bin"": 9, ""q1_nseg"": 6, ""q2_max_bin"": 5, ""q2_mean_bin"": 3, ""q2_nseg"": 5, ""short"": 1}",True,
run_0216,model,staggered_steps,staggered_steps_v01,600,1.0,24,60,42,20.788349999999998,20.6272,20.949499999999997,24.817099999999996,23.5279,23.266666666666666,90.0,17.141666666666666,90.0,4,4,staggered,True,"{""coordination_mode"": ""staggered"", ""family"": ""staggered_steps"", ""q1_max_bin"": 18, ""q1_mean_bin"": 5, ""q1_nseg"": 6, ""q2_max_bin"": 18, ""q2_mean_bin"": 3, ""q2_nseg"": 6, ""short"": 1}",True,
run_0217,model,coordinated,coordinated_v01,600,1.0,30,60,42,20.949499999999997,20.949499999999997,20.6272,28.362399999999997,25.1394,23.091666666666665,55.0,22.548333333333332,58.0,5,5,same_direction,True,"{""coordination_mode"": ""same_direction"", ""family"": ""coordinated"", ""q1_max_bin"": 11, ""q1_mean_bin"": 5, ""q1_nseg"": 7, ""q2_max_bin"": 12, ""q2_mean_bin"": 5, ""q2_nseg"": 7, ""short"": 1}",True,
run_0218,model,q1_dominant,q1_dominant_v01,600,1.0,27,60,42,20.949499999999997,20.949499999999997,20.949499999999997,25.1394,22.238699999999998,22.275,65.0,6.458333333333333,20.0,4,4,q1_dominant,True,"{""coordination_mode"": ""q1_dominant"", ""family"": ""q1_dominant"", ""q1_max_bin"": 13, ""q1_mean_bin"": 4, ""q1_nseg"": 6, ""q2_max_bin"": 4, ""q2_mean_bin"": 1, ""q2_nseg"": 6, ""short"": 1}",True,
run_0219,model,coordinated,coordinated_v01,600,1.0,30,60,42,20.949499999999997,20.949499999999997,20.949499999999997,28.6847,25.461699999999997,33.80833333333333,85.0,32.13333333333333,82.0,5,5,same_direction,True,"{""coordination_mode"": ""same_direction"", ""family"": ""coordinated"", ""q1_max_bin"": 17, ""q1_mean_bin"": 7, ""q1_nseg"": 7, ""q2_max_bin"": 16, ""q2_mean_bin"": 6, ""q2_nseg"": 7, ""short"": 1}",True,
